	left_context	left_word	term	right_context
0		 	Маглев	на тестовом запуске в префектуре
0		 	Изменение возмущений в грунте	в зависимости от скорости снаряда
0		 	Маглев	на тестовом запуске в префектуре
0		 	Изменение возмущений в грунте	в зависимости от скорости снаряда
0		 	Облако	с точки зрения пользователя это
0		 	Облако	с точки зрения пользователя это
0	уроки соседа сверху каждые 10	10	децибел	громкость звука становится в два
0	уроки соседа сверху каждые	10	децибел	громкость звука становится в два
0	в нашей на расстоянии	1350	световых лет	от Земли в созвездии Ориона
0	в нашей на расстоянии 1350	1350	световых лет	от Земли в созвездии Ориона
0	виде частиц более 1	2	нанометра	в диаметре Если бы можно
0	виде частиц более 1 2	2	нанометра	в диаметре Если бы можно
0	имеющие средний диаметр 3	5	нанометра	Кремний седьмой по распространенности элемент
0	имеющие средний диаметр 3 5	5	нанометра	Кремний седьмой по распространенности элемент
0	лазерный радар и технологию	GPR	ground-penetrating radar	для изучения рельефа местности скрытого
0	лазерный радар и технологию GPR	GPR	ground-penetrating radar	для изучения рельефа местности скрытого
0	высокой концентрации CO2 и	H2	наночастицы	родия заворачиваются в оксидный слой
0	высокой концентрации CO2 и H2	H2	наночастицы	родия заворачиваются в оксидный слой
0	Образцы проводящих нитей Project	JacquardПодобные	проводящие нити	используются в частности в сенсорных
0	Образцы проводящих нитей Project JacquardПодобные	JacquardПодобные	проводящие нити	используются в частности в сенсорных
0	них Acetobacter pomorum и	Lactobacilli	дрозофилы	неожиданно переставали выбирать высокобелковую диету
0	них Acetobacter pomorum и Lactobacilli	Lactobacilli	дрозофилы	неожиданно переставали выбирать высокобелковую диету
0	рассказывает Васим Касим Waseem	Qasim	иммунолог	GOSH профессор клеточной и генной
0	рассказывает Васим Касим Waseem Qasim	Qasim	иммунолог	GOSH профессор клеточной и генной
0	Рисунок Scott Bedford Фотодом Shutterstock	Shutterstock	DDoS-атака	ситуация когда к сайту или
0	Рисунок Scott Bedford Фотодом	Shutterstock	DDoS-атака	ситуация когда к сайту или
0	Human Factors in Computing	Systems	Динамика цветовых изменений	на сегодняшний день довольно невысокая
0	Human Factors in Computing Systems	Systems	Динамика цветовых изменений	на сегодняшний день довольно невысокая
0	маглев сокращенное от magnetic	levitation	магнитная левитация	достиг скорости в 603 километра
0	маглев сокращенное от magnetic levitation	levitation	магнитная левитация	достиг скорости в 603 километра
0	авторы смогли извлечь ДНК Анализ	Анализ	митохондриального генома	показал что ДНК принадлежит человеку
0	авторы смогли извлечь ДНК	Анализ	митохондриального генома	показал что ДНК принадлежит человеку
0	чтобы она оставалась гладкой В	В	комплексном мире	это оказывается не так Если
0	чтобы она оставалась гладкой	В	комплексном мире	это оказывается не так Если
0	имеет огромное экологическое значение	Взаимодействие	катализатора	с носителем было изучено на
0	имеет огромное экологическое значение Взаимодействие	Взаимодействие	катализатора	с носителем было изучено на
0	Возникновение	Возникновение	гравитационных волн	было предсказано инфляционной теорией ранней
0	Возникновение	Возникновение	гравитационных волн	было предсказано инфляционной теорией ранней
0	будет делать японская Sharp	Все	гаджеты	становятся более или менее одинаковыми
0	будет делать японская Sharp Все	Все	гаджеты	становятся более или менее одинаковыми
0	не фигня какая то	Глубоко	интериоризированный кодекс	чести дворянина противоречит другому столь
0	не фигня какая то Глубоко	Глубоко	интериоризированный кодекс	чести дворянина противоречит другому столь
0	соответствует житейскому понятию гладкости Если	Если	кривая	нарисована плавно то это и
0	это оказывается не так	Если	функция	задана на маленьком кусочке то
0	низких температурах присоединяет их Если	Если	оксид церия	легировать покрыть тонким слоем родия
0	низких температурах присоединяет их	Если	оксид церия	легировать покрыть тонким слоем родия
0	соответствует житейскому понятию гладкости	Если	кривая	нарисована плавно то это и
0	это оказывается не так Если	Если	функция	задана на маленьком кусочке то
0	сильное взаимодействие металл носитель Заворачивание	Заворачивание	катализатора	в капсулу единственный механизм влияния
0	сильное взаимодействие металл носитель	Заворачивание	катализатора	в капсулу единственный механизм влияния
0	в ближайшие десять лет	Запуск	зонда	к астероиду будет возможен либо
